"sample","shannon","simpson","invsimpson","temperature","infection","time"
"SRR11440601",1.17791948064686,0.536747681331748,2.15865082526684,"36","Control","24"
"SRR11440602",0.146213817020525,0.0491777941424963,1.05172133532383,"36","Control","48"
"SRR11440603",0.344450214331177,0.131593461373172,1.15153439722052,"36","Control","48"
"SRR11440604",0.18621952087014,0.0636107323918292,1.06793193236218,"36","Control","48"
"SRR11440605",0.19972071929848,0.0761193351721045,1.08239087370259,"36","Control","48"
"SRR11440606",0.968422447668808,0.449422073751984,1.81627332358678,"36","Zika","48"
"SRR11440607",1.17104894788435,0.571190100642166,2.3320357144216,"36","Control","48"
"SRR11440608",1.16354792856594,0.567254176899064,2.31082530810876,"36","Control","48"
"SRR11440609",1.12267334826877,0.553940296218707,2.2418523608452,"36","Control","48"
"SRR11440610",1.08832819323682,0.557024043355229,2.2574588643011,"36","Control","48"
"SRR11440611",0.653454344469344,0.298183865132021,1.42487462216598,"36","Control","48"
"SRR11440612",0.593599793079671,0.283230665646263,1.39514897202129,"36","Control","48"
"SRR11440613",0.701237953495121,0.310170068490353,1.44963266208465,"36","Control","48"
"SRR11440614",0.664758540857267,0.279234988289577,1.38741473816401,"36","Control","48"
"SRR11440615",2.15393741918038,0.815542676033502,5.42130818390071,"20","Zika","24"
"SRR11440616",2.25552322050646,0.794420717374655,4.86430338324721,"20","Zika","24"
"SRR11440617",1.17591981351972,0.537157049977563,2.16056007756308,"36","Zika","48"
"SRR11440618",2.25087827649014,0.79884606816663,4.97131719417927,"20","Zika","24"
"SRR11440619",2.23699245466918,0.774430099558513,4.43321559322762,"20","Zika","24"
"SRR11440620",1.61358040537202,0.653650406595005,2.88725616845369,"20","Zika","24"
"SRR11440621",1.50721285336896,0.647183087203574,2.83433124584081,"20","Zika","24"
"SRR11440622",1.75590832155848,0.72375884071617,3.62002535245853,"20","Zika","24"
"SRR11440623",1.63115475660169,0.68085973530321,3.13341847024562,"20","Zika","24"
"SRR11440624",0.963158844464248,0.414062693101245,1.70666722911499,"20","Zika","24"
"SRR11440625",0.939850903271418,0.37128756438922,1.59055228330027,"20","Zika","24"
"SRR11440626",1.05835075872899,0.445858845456429,1.80459435615041,"20","Zika","24"
"SRR11440627",0.896385383449085,0.379741155046826,1.61223013284961,"20","Zika","24"
"SRR11440628",1.15656666442902,0.523924657525105,2.10050786247711,"36","Zika","48"
"SRR11440629",1.28676644805426,0.650577425449257,2.86186432369378,"20","Zika","48"
"SRR11440630",1.39799037349782,0.667225243094741,3.00503562619896,"20","Zika","48"
"SRR11440631",1.45723041432264,0.690361028859602,3.22956763587286,"20","Zika","48"
"SRR11440632",1.51805121295187,0.717477981767524,3.5395471342596,"20","Zika","48"
"SRR11440633",2.20311921517588,0.805030315511429,5.12900250427711,"20","Zika","48"
"SRR11440634",1.55865268888423,0.57351920057964,2.34477144424585,"20","Zika","48"
"SRR11440635",2.11720884358798,0.825025510204082,5.71511882198571,"20","Zika","48"
"SRR11440636",2.22494003433916,0.81893318777909,5.52282324813867,"20","Zika","48"
"SRR11440637",1.43714859569766,0.678215385962643,3.10766878333067,"20","Zika","48"
"SRR11440638",1.35554017739898,0.635675605455675,2.74480659262672,"20","Zika","48"
"SRR11440639",1.27059846046581,0.549892722793101,2.22169258449988,"36","Zika","48"
"SRR11440640",1.09603128959592,0.566793703462389,2.30836903339696,"20","Zika","48"
"SRR11440641",1.3215247697474,0.624150722529075,2.66064100675931,"20","Zika","48"
"SRR11440642",1.47768871780008,0.684639880262101,3.17097799439928,"28","Zika","24"
"SRR11440643",1.45182049707548,0.678168380416951,3.10721488862889,"28","Zika","24"
"SRR11440644",1.49655415370315,0.700214758631303,3.33572124976669,"28","Zika","24"
"SRR11440645",1.52929679118936,0.716725908014344,3.53014987353886,"28","Zika","24"
"SRR11440646",2.12709561648421,0.837361372970079,6.14860084754667,"28","Zika","24"
"SRR11440647",2.31779280113888,0.869180098676384,7.64409688344166,"28","Zika","24"
"SRR11440648",2.10724607737956,0.83961147543062,6.23486002308991,"28","Zika","24"
"SRR11440649",1.22377141911346,0.627189542721244,2.68232819245273,"28","Control","48"
