"sample","shannon","simpson","invsimpson","time","temperature","infection"
"SRR11715726",0.108663322265068,0.0491777941424963,1.05172133532383,"3","32","Chikungunya"
"SRR11715727",0.930156075512405,0.131593461373172,1.15153439722052,"3","18","Chikungunya"
"SRR11715729",1.36437840936246,0.0636107323918292,1.06793193236218,"3","32","Chikungunya"
"SRR11715730",0.608304769405139,0.0761193351721045,1.08239087370259,"3","32","Chikungunya"
"SRR11715731",1.51453250466569,0.449422073751984,1.81627332358678,"7","32","Control"
"SRR11715732",0.685391019632053,0.571190100642166,2.3320357144216,"7","32","Control"
"SRR11715733",1.1914340794673,0.567254176899064,2.31082530810876,"3","32","Chikungunya"
"SRR11715734",0.260167979458805,0.553940296218707,2.2418523608452,"7","32","Control"
"SRR11715735",0.53557662083462,0.557024043355229,2.2574588643011,"7","32","Control"
"SRR11715736",2.72125983515509,0.298183865132021,1.42487462216598,"7","32","Control"
"SRR11715737",1.07118759539422,0.283230665646263,1.39514897202129,"7","32","Control"
"SRR11715738",0.157390784770447,0.310170068490353,1.44963266208465,"7","28","Control"
"SRR11715739",1.32399850491762,0.279234988289577,1.38741473816401,"7","28","Control"
"SRR11715740",0.347693248753622,0.815542676033502,5.42130818390071,"7","28","Control"
"SRR11715741",1.37884060378303,0.794420717374655,4.86430338324721,"7","28","Control"
"SRR11715742",0.735248359646445,0.537157049977563,2.16056007756308,"7","28","Control"
"SRR11715743",0.979829359697169,0.79884606816663,4.97131719417927,"7","28","Control"
"SRR11715744",1.18079270977639,0.774430099558513,4.43321559322762,"3","32","Chikungunya"
"SRR11715745",2.77647766123162,0.653650406595005,2.88725616845369,"7","28","Control"
"SRR11715746",0.779593355461562,0.647183087203574,2.83433124584081,"7","18","Control"
"SRR11715747",0.587248735292188,0.72375884071617,3.62002535245853,"7","18","Control"
"SRR11715748",0.397428621797589,0.68085973530321,3.13341847024562,"7","18","Control"
"SRR11715749",0.437093479731888,0.414062693101245,1.70666722911499,"7","18","Control"
"SRR11715750",1.64909757286173,0.37128756438922,1.59055228330027,"7","18","Control"
"SRR11715751",1.06043360990248,0.445858845456429,1.80459435615041,"3","28","Control"
"SRR11715752",0.681217228328068,0.379741155046826,1.61223013284961,"3","28","Control"
"SRR11715753",3.33273005121266,0.523924657525105,2.10050786247711,"3","28","Control"
"SRR11715754",0.706595125339232,0.650577425449257,2.86186432369378,"3","28","Control"
"SRR11715755",0.811448754260867,0.667225243094741,3.00503562619896,"3","18","Chikungunya"
"SRR11715756",1.13260967385896,0.690361028859602,3.22956763587286,"3","28","Control"
"SRR11715757",0.25510616099056,0.717477981767524,3.5395471342596,"3","28","Control"
"SRR11715758",0.270510855129158,0.805030315511429,5.12900250427711,"3","32","Control"
"SRR11715759",2.04543046278351,0.57351920057964,2.34477144424585,"3","32","Control"
"SRR11715760",0.134498567314693,0.825025510204082,5.71511882198571,"3","32","Control"
"SRR11715761",1.6440286774953,0.81893318777909,5.52282324813867,"3","32","Control"
"SRR11715762",0.727739226821396,0.678215385962643,3.10766878333067,"3","32","Control"
"SRR11715763",2.23644134544342,0.635675605455675,2.74480659262672,"3","32","Control"
"SRR11715764",0.989639667624201,0.549892722793101,2.22169258449988,"3","18","Control"
"SRR11715765",0.931735442210102,0.566793703462389,2.30836903339696,"3","18","Control"
"SRR11715766",0.355148289910047,0.624150722529075,2.66064100675931,"3","18","Chikungunya"
"SRR11715767",2.13183860727968,0.684639880262101,3.17097799439928,"3","18","Control"
"SRR11715768",1.79305383942234,0.678168380416951,3.10721488862889,"3","18","Control"
"SRR11715769",0.550274277861491,0.700214758631303,3.33572124976669,"3","18","Control"
"SRR11715770",1.41836476429892,0.716725908014344,3.53014987353886,"3","18","Control"
"SRR11715771",0.764288776443437,0.837361372970079,6.14860084754667,"7","28","Chikungunya"
"SRR11715773",0.352613120343058,0.869180098676384,7.64409688344166,"7","28","Chikungunya"
"SRR11715774",0.0345016066879864,0.83961147543062,6.23486002308991,"7","28","Chikungunya"
"SRR11715775",0.0645957910476661,0.627189542721244,2.68232819245273,"7","28","Chikungunya"
"SRR11715776",0.365744002045093,0.689445035133136,3.2200419028197,"7","28","Chikungunya"
"SRR11715777",1.49746718283526,0.663882278709212,2.97514810037303,"3","18","Chikungunya"
"SRR11715778",0.48149312903844,0.697960641146116,3.31082678692801,"7","32","Chikungunya"
"SRR11715779",0.763397073568885,0.420550347671522,1.72577547675034,"7","32","Chikungunya"
"SRR11715780",2.25404162268444,0.422907362617747,1.73282404803516,"7","32","Chikungunya"
"SRR11715782",0.2915965096632,0.465298063574787,1.87020082007851,"7","32","Chikungunya"
