logFC,Species,Temperature
-18.82917585,Enterobacter ludwigii,18
-15.7330408,Enterobacter ludwigii,20
-24.28257052,Enterobacter ludwigii,25
1.392493277,Enterobacter ludwigii,28
2.998562198,Enterobacter ludwigii,32
4.281796102,Enterobacter ludwigii,35
3.819819782,Enterobacter ludwigii,36
-19.91203497,Gardnerella vaginalis,18
-10.59029992,Gardnerella vaginalis,20
-18.60654033,Gardnerella vaginalis,25
3.349138357,Gardnerella vaginalis,28
1.509031331,Gardnerella vaginalis,32
0.749368144,Gardnerella vaginalis,35
-6.227424719,Gardnerella vaginalis,36
-15.55641498,Rothia mucilaginosa,18
-8.669372609,Rothia mucilaginosa,20
-15.45971159,Rothia mucilaginosa,25
1.995513291,Rothia mucilaginosa,28
-2.594106117,Rothia mucilaginosa,32
-0.41697026,Rothia mucilaginosa,35
-6.011731563,Rothia mucilaginosa,36
-13.60256509,Enterobacter roggenkampii,18
-12.57061226,Enterobacter roggenkampii,20
-22.67484793,Enterobacter roggenkampii,25
1.37126179,Enterobacter roggenkampii,28
-1.288971085,Enterobacter roggenkampii,32
3.275280785,Enterobacter roggenkampii,35
0.845140208,Enterobacter roggenkampii,36
